c_quinsee,P12_POP,P07_POP
"7510302","9569","9118"
"7510404","3271","3286"
"7510502","18219","18300"
"7510701","11635","12227"
"7510903","10375","10625"
"7510904","22734","22146"
"7511002","16741","16236"
"7511003","24403","22875"
"7511104","38188","36342"
"7511203","13747","15046"
"7510101","1478","1859"
"7511904","41884","42009"
"7511701","39868","39060"
"7511704","45631","44982"
"7510304","7983","7597"
"7510601","5418","6164"
"7510603","24362","24900"
"7510703","12794","12784"
"7510901","22319","21668"
"7511202","67377","64824"
"7511303","68107","66466"
"7511402","22774","20823"
"7511404","60211","57639"
"7510103","3423","3291"
"7511902","30240","28883"
"7511504","52650","51536"
"7511602","46367","44189"
"7511604","21023","20417"
"7510203","6927","6391"
"7510303","8631","8154"
"7510403","8622","9174"
"7510801","4038","4146"
"7510902","4044","4190"
"7511001","23806","23311"
"7511004","29521","30949"
"7511403","39292","38283"
"7511502","48647","47027"
"7512004","66956","65182"
"7511603","27476","27976"
"7511702","42259","39283"
"7511703","42396","41345"
"7510204","10713","10892"
"7510301","9807","9705"
"7510401","6171","6139"
"7510402","9702","9970"
"7510501","12279","12568"
"7510504","9946","10704"
"7510602","8647","9052"
"7511101","33602","34059"
"7511201","36305","35553"
"7511204","27494","27001"
"7511301","18466","18678"
"7511501","86940","84784"
"7511503","49952","48898"
"7512002","46089","46111"
"7512003","46367","45037"
"7511401","18824","17634"
"7511801","73347","70781"
"7511804","25856","24642"
"7511901","56468","54630"
"7510202","3249","3214"
"7510503","19734","21091"
"7510604","4796","5214"
"7510702","5828","6698"
"7510704","26833","25700"
"7510802","9073","10096"
"7510803","5781","5361"
"7510804","19856","19560"
"7511102","33310","32873"
"7511103","49904","48145"
"7511302","75626","74721"
"7511304","20186","19346"
"7510102","9372","9699"
"7510104","2825","3064"
"7510201","1499","1247"
"7511903","57522","58514"
"7512001","37897","37687"
"7511601","72746","67122"
"7511802","70248","67183"
"7511803","31921","28915"
